[header]
width=20
height=20
tilewidth=32
tileheight=32
orientation=orthogonal

[tilesets]
tileset=images/ground_brittle.png,32,32,0,0
tileset=images/thorns_bottom.png,32,32,0,0
tileset=images/thorns_left.png,32,32,0,0
tileset=images/thorns_right.png,32,32,0,0
tileset=images/thorns_top.png,32,32,0,0
tileset=images/ground.png,32,32,0,0
tileset=images/not_visited.png,32,32,0,0
tileset=images/visited.png,32,32,0,0

[layer]
type=Kachelebene 1
data=
7,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,4,0,
0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,5,0,5,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,
6,4,0,0,3,6,4,0,0,0,2,0,0,0,0,0,0,0,0,0,
6,4,0,0,0,6,4,0,0,3,6,4,0,0,0,0,0,0,0,2,
6,0,0,0,0,6,0,0,0,0,6,4,0,0,0,0,0,0,3,6,
6,0,0,0,0,6,0,0,0,3,6,0,0,0,0,0,0,0,3,6,
6,0,0,0,3,6,4,0,0,3,6,4,0,0,0,2,0,0,0,6,
6,4,0,0,3,6,4,0,0,0,5,0,0,0,3,6,4,0,0,6,
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,6,
6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,0,0,6,
6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,6,
5,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,6,
0,0,0,0,0,3,6,6,6,6,6,6,6,4,0,0,0,0,3,6,
0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,3,6,
0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,0,0,3,6,6,6,4,0,0,0,0,0,0,0,0,0,0,7,0,
6,4,0,0,5,0,5,0,0,0,0,0,2,2,0,0,2,0,0,0,
6,4,0,0,0,0,0,0,0,0,0,3,6,6,6,6,6,4,0,0

